scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,usER,cvERSMU,propMixHigh,singleHCR,moveTAC,prodRegime,prodPpnChange,trendLength,capRegime,capPpnChange,startYear,endYear,rho,arSigTransform,biasCor,correlCU,corrMat,mu_logCovar1,sig_logCovar1,sampCU_coef1,sigCU_coef1,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsAgeErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustForecast,agePpnConst
stationary,stationary,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,0.456,1,FALSE,FALSE,linear,1,50,linear,1,NA,NA,0,FALSE,FALSE,0,TRUE,-4.58,0.447,FALSE,0,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
incLinearProd,incLinearProd,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,0.456,1,FALSE,FALSE,linear,2,50,linear,1,NA,NA,0,FALSE,FALSE,0,TRUE,-4.58,0.447,FALSE,0,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
incLinearCap,incLinearCap,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,0.456,1,FALSE,FALSE,linear,1,50,linear,2,NA,NA,0,FALSE,FALSE,0,FALSE,-4.58,0.447,FALSE,0,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
incLinearProdCap,incLinearProdCap,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,0.456,1,FALSE,FALSE,linear,2,50,linear,2,NA,NA,0,FALSE,FALSE,0,FALSE,-4.58,0.447,FALSE,0,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
decLinearProd,decLinearProd,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,0.456,1,FALSE,FALSE,linear,0.5,50,linear,1,NA,NA,0,FALSE,FALSE,0,FALSE,-4.58,0.447,FALSE,0,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
decLinearCap,decLinearCap,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,0.456,1,FALSE,FALSE,linear,1,50,linear,0.5,NA,NA,0,FALSE,FALSE,0,FALSE,-4.58,0.447,FALSE,0,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
decLinearProdCap,decLinearProdCap,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,0.456,1,FALSE,FALSE,linear,0.5,50,linear,0.5,NA,NA,0,FALSE,FALSE,0,FALSE,-4.58,0.447,FALSE,0,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
regimeProd,regimeProd,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,0.456,1,FALSE,FALSE,regime,2,50,linear,1,NA,NA,0,FALSE,FALSE,0,FALSE,-4.58,0.447,FALSE,0,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
regimeCap,regimeCap,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,0.456,1,FALSE,FALSE,linear,1,50,regime,2,NA,NA,0,FALSE,FALSE,0,FALSE,-4.58,0.447,FALSE,0,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
regimeProdCap,regimeProdCap,ref,prodRegime,1,coho,50,fixedER,stockRecruit,0.125,0,0.456,1,FALSE,FALSE,regime,2,50,regime,2,NA,NA,0,FALSE,FALSE,0,FALSE,-4.58,0.447,FALSE,0,0,0.25,0,0,0,0,0,0,NA,1.00E-04,1,1,1,TRUE
