"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"decLinearCap","ref","linear",1,"fixedER",1,0.125,14388.5938742765,0.480181884057719,14228.6560739795,0.498906092528496,16184.2964969413,0.528213104378116,16098.7729284403,0.386351426852357,17167.3094132092,0.408085986540041,15980.4543882468,0.538607006561183,11899.8744185388,2063.15639969066,0.968352862585512,1.03268141050359,2063.15640469066,0.968352860856244,1.03268141234774,3096.82222376285,0.141565224707749,0.150564249217501,0,0.8,0,1,11758.5710168097,13842,2083.42898319031
"decLinearCap","ref","linear",1,"fixedER",2,0.125,13179.1217888188,0.521611593263269,14987.0387775373,0.519461555676231,15704.0754358329,0.549128409017259,14977.819191095,0.387473320503891,17720.6560236918,0.379478785688959,17266.5937542576,0.537816611271265,9082.07814276784,1968.36842630394,0.910331199522939,1.09850129329199,1968.36843130394,0.910331197850682,1.09850129530991,2149.79845656574,0.140362145949528,0.135540351487903,0,0.8,0,1,15881.4114357652,20240.4829319558,2497.32737482665
"decLinearCap","ref","linear",1,"fixedER",3,0.125,13969.8994362556,0.646955498312209,14142.1070908594,0.680728638061763,15426.6799961125,0.622873482247325,15264.3392189174,0.497011276975808,16295.5492825871,0.528643723010137,16233.3498479202,0.651767661162369,9222.61781444331,1777.82893505037,0.807523752851715,1.23835366633931,1777.82894005037,0.807523751084099,1.23835366904998,1184.79845179556,0.119999500236669,0.11018325954197,0.6,0.8,0,1,17691.6767045659,20388.3856659877,1980.25465349647
"decLinearCap","ref","linear",1,"fixedER",4,0.125,14913.561066346,0.564323639916556,15274.1849495897,0.589698208105163,17344.2792467095,0.521767861453111,17029.5376103596,0.435940817372983,16630.6729919042,0.453206225559407,16997.3546023206,0.540265159425749,12871.67088627,1966.01777612754,0.565029083062422,1.76982040389861,1966.01778112754,0.565029081938076,1.76982040742036,1676.43136688735,0.134975374959334,0.125186682585231,0.4,0.8,0,1,20491.2834700389,24028.6912333167,2731.72928762916
"decLinearCap","ref","linear",1,"fixedER",5,0.125,14654.2057569452,0.50623273002872,15157.5821332879,0.496078244347981,16402.4216415089,0.497760315571162,15661.7674121259,0.454414392867138,16435.5230477671,0.510578924648639,16563.3099629738,0.486050464515989,14464.1376160893,1799.04167317255,0.601182705304099,1.66338783730341,1799.04167817255,0.6011827037004,1.66338784174062,991.245506096725,0.0972766204020431,0.107288621053224,0,1,0,1,20647.4883724078,22407.583062376,2126.34693130294
"decLinearCap","ref","linear",1,"fixedER",6,0.125,14293.6308921155,0.617578568058682,13430.6835639442,0.651295660105698,16214.3046549265,0.60489770298252,13157.8719448516,0.495981611252919,14258.7632359708,0.542716287178611,16275.8607685288,0.62991259828015,9611.87715856802,1603.29130923363,0.81714098781328,1.2237790233434,1603.29131423363,0.817140986100338,1.22377902590877,1411.60688072578,0.129970880302108,0.120488685671807,0,0.4,0,1,16777.5769922561,19290.4761023557,2512.89911009964
"decLinearCap","ref","linear",1,"fixedER",7,0.125,12504.8820523586,0.694631723918312,13409.1533466269,0.67071192222592,14095.3299216875,0.672309426210952,15657.3742785231,0.500384737793374,16031.9248187818,0.513706297837856,15163.6703942437,0.651998761352816,10383.4910941728,1703.71023730021,0.723694231635104,1.38179904756269,1703.71024230021,0.723694229822551,1.38179905102352,1693.32558392356,0.112584492480848,0.112535259492001,0.2,1,0,1,18890.2166806825,20890.9789792588,2230.3030025737
"decLinearCap","ref","linear",1,"fixedER",8,0.125,14614.5579329888,0.536879187592203,14548.0962007165,0.561201498676611,16650.0965345756,0.53117470183527,17130.7656728794,0.42134480653263,18134.1536253947,0.412233132716985,19097.2829773862,0.543046557201806,8591.31373428649,2106.30662074696,0.712244500827853,1.4040122441629,2106.30662574696,0.712244499530007,1.40401224672128,1942.52663719771,0.134753996523285,0.133620209903938,0.4,1,0,1,15183.1189524382,19089.2952392167,1906.53180195964
"decLinearCap","ref","linear",1,"fixedER",9,0.125,15920.0224857492,0.524644617958616,17112.8122932802,0.552574804405183,17752.7254236662,0.535791158566619,15989.7059300537,0.384194721223069,16767.9172027951,0.392938852771072,19273.1947315343,0.559813823252413,15132.7866708701,1564.856720603,0.816264264738953,1.22509344485368,1564.856725603,0.816264262740577,1.22509344785295,1564.856720603,0.11091427823954,0.124971851519059,0,0.6,0,1,13144.0991789458,14632.1356982108,1367.61636948984
"decLinearCap","ref","linear",1,"fixedER",10,0.125,13721.1194103954,0.598081581337521,13970.6204649157,0.673986485841629,15689.0850208163,0.588810788672502,14876.8053514145,0.409750414239404,16561.4291454094,0.421495983277158,15858.5683440814,0.656412665186231,10711.5919236703,1489.17009349708,0.711678041953522,1.40512976521665,1489.17009849708,0.711678039980358,1.40512976911245,1071.79906288973,0.098690361856358,0.10711373904911,0.2,1,0,1,13351.7528569012,16026.8114237794,1331.95579936801
