"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"decLinearCap_ar","ref","linear",1,"fixedER",1,0.125,13714.7819378707,0.540682441965651,12306.0867144833,0.551788721477762,15234.5161151364,0.580198908755238,17339.007461181,0.421897660258212,16071.3234154053,0.428840489122379,14380.5163800936,0.58301842402885,12372.9819492951,1758.92596236718,0.971067434008699,1.0297946002286,1758.92596736718,0.971067432224861,1.02979460212032,2879.72642125989,0.143992341639624,0.150564247343791,0.2,0.6,0,1,11758.5710168097,13842,2006.59872394569
"decLinearCap_ar","ref","linear",1,"fixedER",2,0.125,14024.7879627807,0.511912505679437,14156.7342695992,0.506921783267831,15960.4451533758,0.538574864305841,16017.7084592672,0.351096914716835,17715.3233869575,0.338427587562217,15891.280061545,0.524826125086767,10321.3062753534,2136.71924264376,0.894527857160655,1.11790817020962,2136.71924764376,0.894527855540162,1.11790817223478,2452.7874910301,0.136951700753653,0.135540347818874,0,1,0,1,13479.9516717586,17328.7160142689,3078.37223931921
"decLinearCap_ar","ref","linear",1,"fixedER",3,0.125,12832.2342443541,0.714352339175121,13231.1291092929,0.734081825504689,14642.5809223253,0.70044218138456,14249.4255251866,0.565549752781497,15711.6974620989,0.588636418006788,14974.1516097075,0.716104313212832,8834.46853854524,1451.39562745386,0.925276433154152,1.08075810014,1451.39563245386,0.92527643119157,1.08075810243237,904.091818364592,0.120438502769561,0.110183259384525,0.2,0.8,0,1,17987.799372482,20713.068490792,2048.55938915667
"decLinearCap_ar","ref","linear",1,"fixedER",4,0.125,14823.6746442723,0.622562195430729,15164.1177235884,0.659660052195545,17434.2946835431,0.575631646081818,16019.0604765068,0.537118415382806,17003.1527012826,0.559223972240293,17124.7083743176,0.604991226825734,13641.9182487479,2178.25985637618,0.558701109411445,1.78986578539898,2178.25986137618,0.558701108280012,1.78986578902367,1584.80391356504,0.134367785367697,0.125186682434935,0.6,0.8,0,1,22132.3204271972,26073.1940813046,3094.22439009929
"decLinearCap_ar","ref","linear",1,"fixedER",5,0.125,14144.5539996297,0.524068276044683,14914.4909807005,0.506114438973419,15355.8399356826,0.518097610587167,14805.5275301323,0.398131197118798,15843.0736657135,0.455729701338091,16638.234303759,0.499105422046549,12131.9074423137,1683.04534442954,0.629098843126854,1.58957532814657,1683.04534942954,0.629098841391381,1.58957533253168,902.3868617834,0.0972212820623014,0.107288564312963,0.4,1,0,1,19423.2740654414,21351.3692156125,2175.29157871367
"decLinearCap_ar","ref","linear",1,"fixedER",6,0.125,13843.9484631393,0.68596437371336,13935.3990675729,0.714003269560979,15674.4742239027,0.677171732768295,13278.712562428,0.578588153406171,15206.5842517481,0.616477209590588,17305.8036797185,0.696778437584544,7994.27654062143,1430.6091254476,0.892824457761881,1.12004100168446,1430.6091304476,0.892824455868088,1.12004100406021,1266.3908477034,0.127950716400408,0.120488672219707,0,0.4,0,1,18293.4278097089,21894.1953821325,2774.76818370883
"decLinearCap_ar","ref","linear",1,"fixedER",7,0.125,13048.4182806185,0.712384933625743,13290.7457030653,0.698319999898686,14619.9841118535,0.688273293668112,15045.5554355723,0.504373342007311,15376.8517293613,0.529290181393967,14966.8489198293,0.676731968200953,8406.97922594278,1667.3638202113,0.730000290069891,1.36986246937554,1667.3638252113,0.730000288228249,1.36986247283142,1252.92827082298,0.113141404749004,0.112534805206245,0.6,1,0,1,21102.4644881113,22415.4198036723,2393.97773955987
"decLinearCap_ar","ref","linear",1,"fixedER",8,0.125,14874.5757998705,0.539450812151273,13927.3654278179,0.564051344912919,16813.1878814254,0.531248997977901,16271.5177979077,0.425779453110488,16760.9841924677,0.415457925929103,16409.5719008107,0.544767250257441,9004.53944837211,2193.03862334004,0.705635919330464,1.41716141795735,2193.03862834005,0.705635918033598,1.41716142056191,2038.97777721041,0.136127789778056,0.133620210179587,0.2,0.8,0,1,16421.7791530249,17651.3805957726,1649.30075704694
"decLinearCap_ar","ref","linear",1,"fixedER",9,0.125,15399.9171203166,0.557358455215092,17214.9645238092,0.579607623300949,17530.3820273594,0.572830156671635,14923.9791305768,0.439026142625767,16049.5337818264,0.459762315848963,18825.6636101306,0.591472264195264,15679.1116669433,1452.97126982868,0.849887291002566,1.17662660753563,1452.97127482868,0.849887288952154,1.17662661037433,1454.44088415837,0.113000850712907,0.12497185214371,0,0.6,0,1,13144.0991789458,13842,1050.2180489551
"decLinearCap_ar","ref","linear",1,"fixedER",10,0.125,13108.520924161,0.653272967369014,13789.7433104985,0.722057828617964,14757.9202791404,0.651773734145907,13987.64785325,0.43568038646914,15416.4742522796,0.433361849832924,14663.9935596889,0.710590543488759,10827.7660620603,1335.82943125651,0.83064801385633,1.20387936083473,1335.82943625651,0.830648011548021,1.20387936418023,1026.14092467485,0.099831566543865,0.107113738974617,0.2,1,0,1,13166.7553688116,15903.4169843374,1460.75475732078
