"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"decLinearProd","ref","linear",1,"fixedER",1,0.125,14771.9472347226,0.484306404882226,14529.4444605741,0.499337810647627,16357.3658605185,0.530866583800044,16650.0903903836,0.39556181438631,16466.0293589693,0.39741719216699,16690.3499908201,0.53796628467505,12727.5026988676,2068.77129208776,0.964505285456462,1.03680095389704,2068.77129708776,0.964505283706284,1.03680095577841,2750.21107351024,0.141323920767663,0.150564249535903,0,0.6,0,1,11758.5710168097,13842,2083.42898319031
"decLinearProd","ref","linear",1,"fixedER",2,0.125,13162.4735942856,0.527032038794725,15422.2102578125,0.517483753874263,16150.9611503099,0.557362704741114,14527.1902277355,0.409073202690567,16587.9269404386,0.390016859530561,17090.0648333809,0.538639295344145,8501.83043497938,1859.82608636754,0.932604104607449,1.0722663508123,1859.82609136754,0.93260410284829,1.0722663528349,1782.65457624782,0.138472236257573,0.135540352024759,0,1,0,1,15689.9291154948,19999.9329303182,2497.32737488595
"decLinearProd","ref","linear",1,"fixedER",3,0.125,13900.8654684385,0.658279322155822,13069.2156612027,0.695501001989784,15935.7628380099,0.634755080663347,15551.7109407416,0.500362434713608,16196.0006246836,0.529871111133296,15034.6572976121,0.667021379891164,8178.05420426787,1739.53668556164,0.823727812675149,1.21399324462821,1739.53669056164,0.823727810829616,1.21399324734812,1004.41112805083,0.119807867467379,0.110183259569732,0.2,1,0,1,17785.0256941364,20380.5555155232,1944.00786280612
"decLinearProd","ref","linear",1,"fixedER",4,0.125,14168.579564612,0.59457515587466,14770.8869347417,0.631092126389928,17093.9588205392,0.548873946776884,15922.5058308102,0.494183996680933,16771.9973788713,0.524661985578686,17174.3636436814,0.577358407638422,12763.1168798597,1982.91534614861,0.578503074600143,1.72859928305687,1982.91535114861,0.578503073424909,1.72859928656853,1650.75744714058,0.134980422286385,0.12518668249296,0.6,0.8,0,1,20351.8792962583,23529.1054902288,2731.72928845303
"decLinearProd","ref","linear",1,"fixedER",5,0.125,14481.3639891697,0.519837603593026,15018.3786533621,0.502677730496313,16065.7561197528,0.514305166961002,14981.9594828959,0.463060067928669,15637.8987297904,0.510075254805537,16673.2573471197,0.496791145122753,12187.9330063068,1655.58217017307,0.639133712251087,1.56461782696129,1655.58217517307,0.639133710485619,1.56461783128321,822.965518992046,0.0971110684191189,0.107288628664516,0.2,1,0,1,20329.5469769558,22407.5830630778,2126.34693130294
"decLinearProd","ref","linear",1,"fixedER",6,0.125,13391.4989599502,0.635574611430482,13374.1135130727,0.667917374574239,15015.679954232,0.623169580763245,13061.4546247664,0.505709735305031,13808.7300408223,0.555165409956694,16445.1793850147,0.646896506245312,7741.6295138528,1503.64154324487,0.839966864205163,1.19052315348924,1503.64154824487,0.839966862361393,1.1905231561025,1354.51357040234,0.1301652204329,0.120488685734831,0,0.6,0,1,16311.8060619426,18757.1734577022,2445.36739575961
"decLinearProd","ref","linear",1,"fixedER",7,0.125,13547.7748516889,0.731660074295103,13634.5095244051,0.708341456738713,14534.4578756069,0.708593317803023,14362.9247893403,0.533648756655932,15346.6996616418,0.54541601786108,14975.0293866896,0.688707864293468,8268.12345335521,1451.74198327608,0.754715823363995,1.3250020326097,1451.74198827608,0.754715821380386,1.32500203609219,1300.15533621664,0.111296661196268,0.112534753413381,0.4,1,0,1,18579.7070859213,20631.7070869314,2201.13061350419
"decLinearProd","ref","linear",1,"fixedER",8,0.125,13335.5615583464,0.543730909223043,14951.8085731546,0.562953045470132,16176.7849567303,0.53750492676423,16338.7270163112,0.416266824692395,17176.1635683965,0.387489789263372,17787.3690887989,0.546359733230972,9566.20542754062,2043.94746172944,0.710381769047941,1.40769378321773,2043.94746672944,0.710381767721181,1.40769378584684,1976.44118215847,0.135630076085063,0.133620209888658,0.4,1,0,1,15183.1189490428,18443.0516966535,1886.54303815685
"decLinearProd","ref","linear",1,"fixedER",9,0.125,15595.3741852303,0.521104730698881,16144.5450918406,0.544045629438927,16979.4506291101,0.53205619484424,16157.7850447855,0.359547084870568,16107.5522365891,0.358191207879014,18712.140355421,0.55171780796638,14730.139324111,1384.07644387986,0.813202086532387,1.22970663327261,1384.07644887986,0.813202084477795,1.22970663637952,1325.45704619113,0.108946046325032,0.124971851449121,0,1,0,1,13144.0991789458,14165.801173617,1327.08035167806
"decLinearProd","ref","linear",1,"fixedER",10,0.125,12991.3327262204,0.620358631838873,13590.6552813831,0.700038058724278,14283.5542895659,0.614633882956193,14199.7767848372,0.434804462415689,15746.3923507876,0.445341469670303,14991.4366540174,0.685007270433717,11460.7928865457,1347.90299021905,0.763706632083568,1.30940332058106,1347.90299521905,0.763706629926053,1.3094033242802,887.847400183292,0.100091125900345,0.10711373901963,0.4,0.8,0,1,13166.7553688116,15569.4930460139,1333.12947995936
"decLinearProd","ref","linear",1,"fixedER",11,0.125,15873.8845898826,0.47531197201785,15089.9298424224,0.491612610759407,18179.9292631415,0.468589508570915,17423.5841882431,0.325822192258951,18751.3173990792,0.322512195589309,17243.7693509086,0.486030713768168,15477.0270727586,1955.04863192225,0.621429326864387,1.60919344609275,1955.04863692225,0.621429325483607,1.60919344966828,1224.61739458011,0.103664954118509,0.109162399871114,0.6,1,0,1,23042.0324164012,26411.0007014131,2695.92983415696
"decLinearProd","ref","linear",1,"fixedER",12,0.125,13639.8697928951,0.586812123795439,14609.9421586117,0.594268887402129,16081.5475950692,0.568150861829303,16113.3103410944,0.375899223467653,18128.247140824,0.39498475161771,16473.2951487095,0.57531869873474,9755.18279730711,1377.28951528636,0.667696357718562,1.49768676800467,1377.28952028636,0.667696355777897,1.4976867723577,738.823786776605,0.0976296654885641,0.0968242709424752,0,1,0,1,16463.1104136947,19437.0478621509,2932.52073738983
"decLinearProd","ref","linear",1,"fixedER",13,0.125,14106.8104839481,0.621551698276735,13613.3197375874,0.675259251324159,15479.5457845574,0.615600070268253,14722.6029848585,0.420069332008555,13681.8727219325,0.459751607583771,15687.079865788,0.658083892148585,12793.1005421628,1553.81829094239,0.753708265701689,1.32677329612276,1553.81829594239,0.753708263665898,1.32677329970642,1544.90416136605,0.118822151837079,0.111744043599581,0.2,1,0,1,14528.2129889577,16619.8161292167,2027.05829336978
"decLinearProd","ref","linear",1,"fixedER",14,0.125,14192.3252195909,0.621922802580211,13965.9511149318,0.607199287263594,16374.3161141571,0.601158952005368,15422.4960767101,0.435667663602271,16200.1265702741,0.471144431726361,16019.6527422389,0.588124568305497,10970.9156085796,1499.5558260166,0.698218197050758,1.43221704078174,1499.5558310166,0.698218195098071,1.43221704478718,962.896507657317,0.104659072627352,0.101307853951977,0.2,0.8,0,1,23519.4226180011,26411.0023298145,1872.50906708268
"decLinearProd","ref","linear",1,"fixedER",15,0.125,13519.5898685827,0.591994626482143,14101.6912063332,0.656021365813068,15608.6856891359,0.613186513851784,16043.7587633731,0.430304412802161,16190.4938489118,0.446152297332116,16767.9704688701,0.665087446985835,7162.04835601619,1831.26647846146,0.959545946926526,1.04215957891652,1831.26648346146,0.95954594510471,1.04215958089519,1096.58580243155,0.117948714717644,0.107703459663413,0,0.4,0,1,16622.0044450081,18249.3409176184,2160.79169580488
"decLinearProd","ref","linear",1,"fixedER",16,0.125,12137.8034767279,0.637135268011157,13645.0337215472,0.688426093156356,15472.0891332917,0.608749387352842,14689.3606626502,0.467615006050666,15992.6478711299,0.433744342281434,15149.3091404354,0.649913621876181,8235.93297463193,1819.30531547432,0.644046369827966,1.55268323345587,1819.30532047432,0.644046368380215,1.55268323694614,1182.74657499147,0.123721097302831,0.129465451527177,0,0.2,0,1,18976.3097986835,20851.0666538149,2848.31399236995
"decLinearProd","ref","linear",1,"fixedER",17,0.125,14802.0607007215,0.54194422441864,13442.7841493373,0.54836324852012,16541.1250549692,0.542407615662597,15792.8764707282,0.380746630861543,16799.1321868683,0.36487124305051,15578.7804366061,0.547672085341241,11435.6523813754,1684.78608695543,0.723200393885786,1.38274260973084,1684.78609195543,0.723200392145729,1.38274261305779,962.308503631578,0.1043187588266,0.104166090286287,0.4,0.8,0,1,18995.4430417169,21354.3392115978,2148.21568301851
"decLinearProd","ref","linear",1,"fixedER",18,0.125,14508.6049721649,0.585471890414394,15550.6468985753,0.674274856262467,15902.2587377415,0.588928614239123,16166.876757956,0.493893672600814,18353.6844360921,0.482696566546118,16897.0132216281,0.668073146021208,12668.5985061421,1490.21366010248,0.756261240670363,1.3222943954044,1490.21366510248,0.756261238261726,1.32229439961581,1670.43821203002,0.0823460734093985,0.0910743298552945,0.4,0.6,0,1,15098.454878409,16793.2590073856,1027.26233313313
"decLinearProd","ref","linear",1,"fixedER",19,0.125,13185.7232692344,0.606922287700948,13448.5116455775,0.60038688491304,14427.279090182,0.578684108073803,13587.5344838895,0.452850313081401,13981.6184275532,0.414111724653679,14299.7412078207,0.569598998604896,10186.7812580483,1433.68560609583,0.767283404164661,1.30329939963799,1433.68561109583,0.767283401873291,1.30329940353009,1523.38136569784,0.0902076891364589,0.100399265089676,0,0.6,0,1,14596.4680071363,16428.2799647473,1831.81195761102
"decLinearProd","ref","linear",1,"fixedER",20,0.125,16501.5846195469,0.5306408133663,14692.7417498058,0.582881224022727,18010.7182261693,0.529286429566421,16757.8669239577,0.429377137365354,17409.7913674242,0.413826122414608,16416.0257189094,0.57440980209033,11729.8171195101,1539.38505185723,0.719719075698513,1.38943100685426,1539.38505685723,0.719719073807584,1.38943101050473,828.184857957442,0.0923397205495171,0.0908093037553013,0,0.6,0,1,22016.7627680534,23795.8194560453,1779.05668799193
"decLinearProd","ref","linear",1,"fixedER",21,0.125,13902.5979675186,0.554221694313961,14398.3037917469,0.53082556080461,15858.0248452827,0.546186663377105,17173.2799054334,0.400846011831962,18629.7128385971,0.426351414910832,16858.1399952798,0.52021866799197,9873.92856385493,2366.93598771421,0.672920563876358,1.48605950491318,2366.93599271421,0.672920562621123,1.48605950768521,1526.96719135257,0.142264525809741,0.146245576967119,0,0.8,0,1,14129.9976228235,16025.9397844221,2652.04323921941
"decLinearProd","ref","linear",1,"fixedER",22,0.125,14021.8340982593,0.684197860282575,14034.6007936248,0.710901039898641,15375.1017238048,0.671609500980061,16209.9345692386,0.483001725673981,16259.3384655273,0.49601834669258,15291.7468013909,0.694000765674455,6862.06191790985,1976.72100912575,0.678847956064873,1.47308390791477,1976.72101412575,0.678847954436259,1.47308391144883,1000.61410237708,0.118737367689588,0.140086296385418,0,0.6,0,1,18105.2282925822,20359.0724703156,2436.38463202381
"decLinearProd","ref","linear",1,"fixedER",23,0.125,13812.5604784267,0.611453376853652,14005.5373114206,0.649742980367432,16298.8639915429,0.587588441418113,14991.7936097525,0.456831883656375,15012.5109393181,0.497188896049258,15593.7935308336,0.622087103151233,16995.8688092933,1751.28126562194,0.704760062765898,1.41892262747609,1751.28127062194,0.704760061128066,1.4189226307736,2282.34660945921,0.11577908330592,0.112186931525648,0.2,0.8,0,1,13444.6807098863,17405.7501630386,1618.76142940133
"decLinearProd","ref","linear",1,"fixedER",24,0.125,11332.787691675,0.678892856327177,12386.2513190577,0.72999381734606,13040.9137322477,0.643055585678093,13562.194020995,0.442789295812337,14154.4451229478,0.467606006786978,13849.3632290775,0.6791838574362,9196.63974314373,1913.28586207432,0.65733684377424,1.52129005010321,1913.28586707432,0.657336842220592,1.52129005369886,1748.61232976046,0.132703766412021,0.130396760976397,0,0.4,0,1,13089.1296584349,16094.4667771749,2295.37041246211
"decLinearProd","ref","linear",1,"fixedER",25,0.125,13944.7309808283,0.558117779860378,14469.0730797376,0.562806918727603,16511.3421657353,0.553764601821191,16932.362931991,0.343630426062815,17956.2030482098,0.310747506119291,16394.8967307853,0.560733196365286,13944.7309808283,1679.42773275377,0.821321207609758,1.21755044279234,1679.42773775377,0.821321205640441,1.21755044571171,2251.3221227297,0.103044325701972,0.102434622969055,0,0.8,0,1,18714.7578514273,19874.4486653202,1712.63337849864
