"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"decLinearProdCap","ref","linear",1,"fixedER",1,0.125,11612.5315706141,0.566818598181094,11591.6311770469,0.570727457618543,12723.6992549684,0.625187846603856,12569.7746243551,0.46229008547394,13457.3316784556,0.44315014764117,13425.3210456625,0.623034438640039,7924.98695032552,1666.75876456528,1.08632947244024,0.920531040876281,1666.75876956528,1.08632947010811,0.920531042852484,1766.24648444486,0.141307795933111,0.15056424965466,0,0.6,0,1,11758.5710168097,13842,2047.80882578859
"decLinearProdCap","ref","linear",1,"fixedER",2,0.125,10709.6087410634,0.629931987216737,11789.3888308329,0.6083460245269,13037.6507395823,0.661837053822221,11043.0343564417,0.50659956845236,12824.1780481604,0.442293999535409,13431.5350244234,0.634627184920471,4715.48867796915,1490.91712692543,1.02969052970739,0.971165579510738,1490.91713192543,1.02969052740588,0.971165581681443,1024.40642320298,0.138749326715892,0.135540352399689,0,0.6,0,1,15205.2077722951,19383.3769782871,2497.32737472134
"decLinearProdCap","ref","linear",1,"fixedER",3,0.125,10974.8088538714,0.775752154236982,10723.0448770911,0.814855481229312,12783.200966601,0.741656777089745,10932.0529243751,0.60452325152383,12278.0764665704,0.619782034346274,12448.29964508,0.776180213267828,4902.12957626289,1437.50387870865,0.87369869243886,1.14455934140016,1437.50388370865,0.873698690081837,1.14455934448789,605.485896142538,0.119812183928078,0.110183259984734,0,0.8,0,1,17337.7164733627,19944.0355511608,1859.25013235375
"decLinearProdCap","ref","linear",1,"fixedER",4,0.125,11622.511306588,0.690480585577773,12177.1587489287,0.719627640434355,13351.9686551559,0.640483191800239,12464.4943496754,0.55548490517967,12724.3075648063,0.565244290316909,13800.5365983103,0.664462205306323,6795.09166374251,1722.13023020334,0.596842317463787,1.67548441311834,1722.13023520334,0.596842315983844,1.6754844172729,1315.16095951893,0.134715648865092,0.125186682654802,0.4,0.8,0,1,19687.5509786345,22704.7941998047,2731.72928400903
"decLinearProdCap","ref","linear",1,"fixedER",5,0.125,11200.8921241926,0.650713427343191,11949.2752897158,0.614878046344752,12119.9046652248,0.64896129652199,11219.3048897871,0.559015462431704,12273.4964210491,0.578540469194726,13204.4082116348,0.615168109072892,7113.482253358,1222.38618175936,0.761174220871539,1.31375967890112,1222.38618675936,0.761174218365789,1.31375968322595,506.234439753342,0.0972871796710084,0.10728862977396,0,0.6,0,1,20001.8857947178,22407.583059627,2126.34693130294
"decLinearProdCap","ref","linear",1,"fixedER",6,0.125,10218.7528579625,0.76408537168371,10642.7262859546,0.790691791870188,11928.8667959008,0.747301470814603,11451.6683899243,0.635140127038463,11780.0097078538,0.66262455777346,11855.6673494283,0.765748651989176,4890.59652578989,1250.65304408013,0.937468881372268,1.06670207392506,1250.65304908013,0.937468878953095,1.06670207667772,906.59787333703,0.130279584197298,0.12048868658198,0,0.4,0,1,15902.2895292946,18285.4444682693,2383.15493897467
"decLinearProdCap","ref","linear",1,"fixedER",7,0.125,9900.52872312475,0.874358569282757,9466.18840372818,0.849031383551269,10788.7123146268,0.849400863949192,10127.9214216651,0.674353417122087,11329.1460694717,0.653504594283842,10883.8155569607,0.827650520134458,4980.72838039811,1131.53557849511,0.862080038320016,1.15998510062796,1131.53558349511,0.862080035614987,1.15998510426775,797.096604258032,0.111597990985438,0.112535310342709,0,0.8,0,1,18263.450235473,20420.4849558021,2180.64511383735
"decLinearProdCap","ref","linear",1,"fixedER",8,0.125,10556.3585066056,0.669962908329259,10628.1535739794,0.687296369055136,12489.0142107469,0.65864337663323,11988.3609312284,0.491862420256978,13109.3797991668,0.44839985582555,12731.3929337011,0.667221327856596,5524.21049661814,1608.5202647288,0.783096608401489,1.2769816511417,1608.5202697288,0.783096606613767,1.27698165405691,1141.4519893611,0.135661128342205,0.133620210007324,0,0.8,0,1,15183.1189445253,17883.9253226679,1856.39908030085
"decLinearProdCap","ref","linear",1,"fixedER",9,0.125,11424.2104241562,0.645069487880336,11890.6251062374,0.655805253998109,13238.7815662951,0.659321360544046,11112.0414528748,0.470351230433997,13326.358910702,0.424279964630195,13052.1652067041,0.668938761817286,9014.8333324301,1148.46669289203,0.946779377407874,1.05621227485735,1148.46669789203,0.946779374515512,1.05621227808403,809.664863659546,0.109180941123126,0.124971851685939,0,0.6,0,1,13144.0991789458,13842,1294.28291127389
"decLinearProdCap","ref","linear",1,"fixedER",10,0.125,11506.1304933938,0.713879225506594,11418.2688833806,0.815779902097894,13327.2285170388,0.709614564048985,10667.6638485975,0.52521873782787,11341.0628502256,0.517041760145587,13343.4722712863,0.799771399106634,6012.58491386076,1058.0062506876,0.857877266809087,1.16566790925647,1058.0062556876,0.85787726392264,1.16566791317852,508.628728345364,0.0991460431763106,0.107113739137138,0.2,0.6,0,1,13166.7553688116,15101.2607244598,1278.7283157951
