"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"decLinearProd_ar","ref","linear",1,"fixedER",1,0.125,13947.5005937011,0.538605542104779,12466.0359626741,0.545601600015963,15458.0454208574,0.575509203728954,17392.1458378064,0.417502974666382,17491.8509673633,0.405254989202722,14757.3548234171,0.574127918046588,14383.0390231728,1736.15779721142,0.963907350124856,1.03744410691595,1736.15780221142,0.963907348311134,1.03744410886804,3244.04904320075,0.14447472824669,0.150564247442808,0.2,0.6,0,1,11758.5710168097,13842,1931.9195976391
"decLinearProd_ar","ref","linear",1,"fixedER",2,0.125,13776.9500111709,0.519987537526345,14642.8828506853,0.514439768445596,15904.4160255849,0.548313819769166,16128.6610422597,0.390467817730113,16121.4982517534,0.378880988829558,17264.5071733111,0.531502449052278,10307.7294880768,1877.64032894449,0.914978081298857,1.09292235567048,1877.64033394449,0.914978079603252,1.09292235769584,1911.20280318296,0.135703985208355,0.135540347965321,0,1,0,1,13304.7518722217,17106.33908493,3078.37223933548
"decLinearProd_ar","ref","linear",1,"fixedER",3,0.125,12871.4862549101,0.717775691393275,12021.7896711458,0.742952432637872,14826.937826164,0.700754575261164,14140.9061035035,0.568077431811764,15296.0811043353,0.585370808939689,14195.6877032973,0.721888214220731,7580.21408360022,1472.14846656737,0.922887360147748,1.08355585218971,1472.14847156737,0.922887358110063,1.08355585458214,870.389515536132,0.120232286466144,0.110183259431483,0.2,0.8,0,1,18128.4987320501,20870.0099793645,2048.55938915667
"decLinearProd_ar","ref","linear",1,"fixedER",4,0.125,13299.6443434982,0.638255103052759,14804.7063322991,0.680377005256037,16451.8572863516,0.589921704368268,14985.5276666416,0.555379640211715,15636.9385439351,0.592964967398167,17410.3173806259,0.623463915107429,11442.7343220855,2225.61603321504,0.570076225487699,1.75415138413201,2225.61603821504,0.5700762242953,1.75415138780108,1605.08829997983,0.135178618098507,0.125186682329937,0.6,0.8,0,1,22083.7263031527,26009.9778785077,3094.22439095385
"decLinearProd_ar","ref","linear",1,"fixedER",5,0.125,13974.0286456312,0.549123777611726,14916.3586334755,0.521567515919539,16056.2917111401,0.545433713345216,14522.2524657215,0.418619952567139,14503.1209226376,0.46550635635219,16911.8623361632,0.517766048720828,10646.3544504547,1538.13116221727,0.672147102122551,1.48776956240997,1538.13116721727,0.672147100184535,1.48776956669969,700.937358660917,0.09713752433578,0.107288565084731,0.4,1,0,1,19101.9484491471,20999.4790345319,2175.29157873263
"decLinearProd_ar","ref","linear",1,"fixedER",6,0.125,12967.9659607615,0.698692243450882,12154.8794292309,0.724355588758615,14248.8529086345,0.689578167291094,12591.0428217681,0.595334907895496,15245.1724059134,0.617741576525505,15427.7306371862,0.706833267398938,6484.9040744698,1394.37394930786,0.908025466522413,1.10129069818915,1394.37395430786,0.908025464513796,1.10129070062529,1134.91705153547,0.128457078768919,0.120488672202598,0,0.4,0,1,17951.7798979375,21415.2719234288,2718.2218998263
"decLinearProd_ar","ref","linear",1,"fixedER",7,0.125,12471.0698555459,0.770070714461303,12684.620367809,0.75405863415225,13857.5547236492,0.745202059284021,14597.9799504478,0.559744818534197,15515.4505606053,0.569552308923275,14053.3252252461,0.731539988316115,6527.99376653358,1391.46676390466,0.769575051898441,1.29941842258677,1391.46676890466,0.769575049819848,1.29941842609644,874.338629336753,0.112988142832238,0.112534404075328,0.2,0.8,0,1,20708.7651770697,21999.2640825944,2342.96560770946
"decLinearProd_ar","ref","linear",1,"fixedER",8,0.125,14377.4565008582,0.546515074386893,13784.9114097286,0.564141497976657,16696.2781680026,0.535029990869381,15931.1732101868,0.423853286341642,16546.8669267759,0.388624406190073,16453.4391880349,0.544509224934595,9711.68979261723,2120.77213514802,0.68923457904454,1.450884837186,2120.77214014802,0.689234577740066,1.45088483993201,1925.14521359571,0.138110228728385,0.133620210145586,0.2,1,0,1,15483.834667873,16642.2903913292,1632.32161527843
"decLinearProd_ar","ref","linear",1,"fixedER",9,0.125,14087.595660052,0.54340846778384,15606.0874635877,0.558550408369994,16651.4935561576,0.557988922860329,14656.8716844053,0.388021950091718,15921.8180890081,0.388398092448602,17906.9891457695,0.570214308492737,15239.772308386,1378.73926434456,0.842977971599153,1.18627061879562,1378.73926934456,0.842977969491992,1.18627062176089,1322.56504094218,0.112896075727496,0.124971851579853,0,1,0,1,13144.0991789458,13842,1044.08492725602
"decLinearProd_ar","ref","linear",1,"fixedER",10,0.125,12753.0769361891,0.685877121637892,13145.5506778455,0.754349309376595,13983.9395787375,0.6866359085046,12931.2826309319,0.463988621840533,12854.5530374482,0.463543598942532,14074.7178635891,0.744742928676158,12456.3294295478,1219.60603452188,0.881770598223359,1.13408181449331,1219.60603952188,0.88177059567184,1.13408181777493,1005.7906067657,0.100659128868232,0.10711373894599,0.4,0.8,0,1,13166.7553688116,15474.4438243611,1465.20543439028
