"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"incLinearCap","ref","linear",1,"fixedER",1,0.125,23925.8115039984,0.450279681470921,22135.3745896502,0.465037675553303,27174.2136033129,0.465021732905312,28994.9099460203,0.376949138174994,26738.3851684423,0.413803361046193,26546.7132282225,0.474871386423198,26826.0733830741,2722.72466265802,0.813435528095452,1.22935372928862,2722.72466765802,0.813435527144039,1.2293537307265,6309.20013123889,0.14195701235225,0.150564248915845,0.8,1,0,1,12077.2814126755,14491.1247259075,2083.42898319031
"incLinearCap","ref","linear",1,"fixedER",2,0.125,23585.318033689,0.47186202872419,24894.7751571123,0.49131252582224,27056.2776783852,0.486607556406308,29296.3656907547,0.376559640618377,29759.8470262023,0.404575055335116,28444.8304768861,0.494147964964722,28214.8214931843,3356.68441269325,0.823310958845588,1.21460790635188,3356.68441769325,0.823310957882374,1.21460790777289,5709.09712373208,0.13877221490019,0.135540350768395,1,1,0,1,17082.5868760633,21780.7567324866,2497.32737533447
"incLinearCap","ref","linear",1,"fixedER",3,0.125,21450.3990849334,0.533758949813912,24113.2844828845,0.534951732369484,24799.1468405038,0.522046798213513,30554.0330527841,0.398615222693019,29190.4231522015,0.407195444764208,27274.8636724214,0.521232522895817,27519.6398057231,2887.78444505339,0.729728372960231,1.37037291827284,2887.78445005339,0.729728371941772,1.37037292018542,3429.68645485698,0.118807275431019,0.110183259120091,1,1,0,1,19097.0888233798,21862.8452532643,2048.55938915667
"incLinearCap","ref","linear",1,"fixedER",4,0.125,24027.0833262593,0.484421496500249,25214.541874769,0.486792970946999,27431.459252858,0.460233322733358,27463.5259509779,0.399885479634141,28529.179354997,0.42010648882934,29730.32826392,0.455256540571294,30667.1779951259,3321.18224126251,0.618101978591068,1.61785600861439,3321.18224626251,0.61810197782609,1.61785601061668,4624.4035608901,0.135087356910452,0.125186682206515,0.8,1,0,1,22533.7304118169,26411.0018126798,2731.72930136944
"incLinearCap","ref","linear",1,"fixedER",5,0.125,24276.4777517727,0.412648867979009,24555.2650090347,0.457660388199622,26035.3964476634,0.391779152802885,26531.362236026,0.414655722220057,24948.0782174125,0.493586171976467,26851.9838724965,0.432590684591981,35227.1619635727,2619.21037138401,0.504688921964239,1.9814185659317,2619.21037638401,0.50468892110229,1.98141856931573,2450.89119524317,0.0965808481420903,0.107288618167365,1,1,0,1,20687.1062500058,22438.281023744,2126.34693130294
"incLinearCap","ref","linear",1,"fixedER",6,0.125,24470.9279279283,0.513404967911161,22798.2477682997,0.575290115819591,27719.6034507001,0.515202838523357,27187.3763679602,0.389559680307812,27016.9960680201,0.455118405856987,26671.5447199181,0.563502007029056,24661.4665514842,2698.86537895817,0.778078489436495,1.28521738304863,2698.86538395817,0.778078488401807,1.28521738475771,3508.46102609309,0.129729253593938,0.120488683034359,0.8,1,0,1,17319.1002151116,20679.3737651293,2695.14489188509
"incLinearCap","ref","linear",1,"fixedER",7,0.125,20878.1166215186,0.504196949684131,23420.7471499446,0.487769438990248,24665.3119477645,0.488493026649703,24761.245645337,0.395121597707354,27039.9813547596,0.408339383972625,26775.5518264158,0.47561675666679,26856.4160097799,2702.31715673119,0.62624307343447,1.59682404871284,2702.31716173119,0.626243072428659,1.5968240512775,3970.77014174568,0.110606311424505,0.112534027399344,1,1,0,1,19345.6942421973,21431.2859217282,2281.02549914173
"incLinearCap","ref","linear",1,"fixedER",8,0.125,24082.0237875397,0.438138832374337,24563.96585863,0.476237766138174,28115.0006005666,0.447652177194915,28122.4009761975,0.393608748495361,27592.3236752528,0.426927789211282,27839.0530349202,0.469349246733448,25923.022946617,3911.97863644137,0.710756048052373,1.40695250183269,3911.97864144137,0.710756047258926,1.40695250340333,4531.36560980065,0.132623477695257,0.1336202096695,1,1,0,1,15183.1189663318,19089.2952577745,1998.92358218196
"incLinearCap","ref","linear",1,"fixedER",9,0.125,25302.3374307134,0.490903176868899,25730.8086512322,0.552886651130545,28171.8471982169,0.501800068143501,27875.1805816364,0.391140424450831,30995.3464638006,0.433961499222376,28928.3684011565,0.553999653891832,31198.1383328443,2778.83337236432,0.77904000361569,1.28363112979922,2778.83337736432,0.779040002486814,1.28363113165928,3839.47698861634,0.113040396942632,0.12497185112898,0.8,1,0,1,13743.802719265,16447.7449230954,1471.43416569794
"incLinearCap","ref","linear",1,"fixedER",10,0.125,23523.8381720187,0.560049843359117,24043.0076028837,0.572477818592048,26184.5750184628,0.547946678933298,26787.2540645668,0.383990196588749,26781.6575323893,0.379363825723322,27413.3622778468,0.558264951965222,28783.7374003887,2589.04062005911,0.642089347398712,1.55741565258992,2589.04062505911,0.64208934630954,1.55741565523175,3198.52162037777,0.101222042479986,0.107113738817094,1,1,0,1,14577.2415607396,17524.7155194903,1502.27520193948
