"year","iteration","sAg","ppnCUsLowerBM"
1,"1",27417,NA
1,"2",27417,NA
2,"1",23573,NA
2,"2",23573,NA
3,"1",22739,NA
3,"2",22739,NA
4,"1",61956,NA
4,"2",61956,NA
5,"1",56667,NA
5,"2",56667,NA
6,"1",21927,NA
6,"2",21927,NA
7,"1",41447,NA
7,"2",41447,NA
8,"1",13892,NA
8,"2",13892,NA
9,"1",9661,NA
9,"2",9661,NA
10,"1",59711,NA
10,"2",59711,NA
11,"1",16939,NA
11,"2",16939,NA
12,"1",22834,NA
12,"2",22834,NA
13,"1",40238,NA
13,"2",40238,NA
14,"1",27972,NA
14,"2",27972,NA
15,"1",57180,NA
15,"2",57180,NA
16,"1",58313,NA
16,"2",58313,NA
17,"1",19090,NA
17,"2",19090,NA
18,"1",11758.5710168097,0.8
18,"2",13356.7195946072,0.8
19,"1",47597.2397003416,0.8
19,"2",48992.6343781752,0.8
20,"1",21299.9453316759,0.8
20,"2",22905.2784384766,0.8
21,"1",17553.5523556697,1
21,"2",20411.9366960893,1
22,"1",9533.6890238367,0.8
22,"2",5874.59915662105,0.4
23,"1",9010.44610514547,0.4
23,"2",8455.69982869526,0.8
24,"1",10311.5750453073,0.8
24,"2",17866.368747841,0.8
25,"1",17351.5617093809,0.8
25,"2",23482.0432716472,0.8
26,"1",9579.61832376138,0.8
26,"2",8462.97899556791,0.8
27,"1",12692.7867222899,0.8
27,"2",22294.2251400891,0.8
28,"1",13624.9782454553,0.8
28,"2",26040.5455818952,0.8
29,"1",8630.85498078296,0.8
29,"2",18870.8938488008,0.8
30,"1",10134.0244194999,0.8
30,"2",23988.7236141525,0.8
31,"1",7839.13605842601,0.8
31,"2",20924.6419318093,1
32,"1",15406.9229036397,0.8
32,"2",7487.89872183223,0.6
33,"1",25311.0838403567,0.8
33,"2",23287.5899835049,0.8
34,"1",23806.8752852927,0.8
34,"2",9263.26973999267,1
35,"1",11894.803510823,0.8
35,"2",14060.7959747023,1
36,"1",29381.6600952978,1
36,"2",14312.6665320242,1
37,"1",8844.74965066465,0.8
37,"2",17837.3723914921,1
38,"1",26457.767667217,1
38,"2",14795.4847604353,1
39,"1",21567.9487773475,1
39,"2",8438.24718604471,1
40,"1",21477.4940063903,1
40,"2",26190.1201171982,1
41,"1",21510.4520437936,1
41,"2",6620.87205645587,1
42,"1",25014.4986713995,1
42,"2",24095.1751640239,1
43,"1",15834.2375905479,1
43,"2",47830.3244036429,1
44,"1",22613.7502588124,1
44,"2",25226.2864626422,1
45,"1",24859.0845304797,1
45,"2",23236.6465024396,1
46,"1",40405.6347390053,1
46,"2",25481.9871449159,1
47,"1",13322.4850165801,1
47,"2",22058.5049977523,1
48,"1",23272.2900884006,1
48,"2",19924.8734945464,1
49,"1",6342.46871116861,0.8
49,"2",37466.5503252756,1
50,"1",17121.286821396,1
50,"2",13739.8347233617,1
51,"1",29780.8388966623,1
51,"2",30413.0370979087,1
52,"1",30579.3377318438,1
52,"2",10668.8321860353,1
53,"1",58874.3255173605,1
53,"2",18596.7199794397,1
54,"1",31505.9957700651,1
54,"2",19925.467149101,1
55,"1",17811.0169078942,1
55,"2",36844.0248403563,1
56,"1",26641.5198199513,0.8
56,"2",23842.9701285169,1
57,"1",27599.45090794,1
57,"2",21878.0823028942,1
58,"1",19883.6686822214,1
58,"2",21959.7818130646,1
59,"1",50825.620271615,1
59,"2",18627.0841822762,1
60,"1",36800.6651801477,1
60,"2",15344.1021821071,1
61,"1",9698.00514987967,1
61,"2",63406.3419044397,1
62,"1",26089.5236887107,1
62,"2",21877.5701755009,1
63,"1",24434.4145496546,1
63,"2",68737.2749435054,1
64,"1",32856.6993367017,1
64,"2",21854.3813195092,1
65,"1",14530.667639543,1
65,"2",28682.9699807084,1
66,"1",31828.0908312046,1
66,"2",9771.53445784145,0.8
67,"1",19677.1261656511,1
67,"2",33305.2742403566,1
