"year","iteration","sAg","ppnCUsLowerBM"
1,"1",27417,NA
1,"2",27417,NA
2,"1",23573,NA
2,"2",23573,NA
3,"1",22739,NA
3,"2",22739,NA
4,"1",61956,NA
4,"2",61956,NA
5,"1",56667,NA
5,"2",56667,NA
6,"1",21927,NA
6,"2",21927,NA
7,"1",41447,NA
7,"2",41447,NA
8,"1",13892,NA
8,"2",13892,NA
9,"1",9661,NA
9,"2",9661,NA
10,"1",59711,NA
10,"2",59711,NA
11,"1",16939,NA
11,"2",16939,NA
12,"1",22834,NA
12,"2",22834,NA
13,"1",40238,NA
13,"2",40238,NA
14,"1",27972,NA
14,"2",27972,NA
15,"1",57180,NA
15,"2",57180,NA
16,"1",58313,NA
16,"2",58313,NA
17,"1",19090,NA
17,"2",19090,NA
18,"1",11758.5710168097,0.8
18,"2",13356.7195946072,0.8
19,"1",52951.7662339407,0.8
19,"2",49918.742541888,0.8
20,"1",23973.4237004967,0.8
20,"2",22121.5260421912,0.8
21,"1",16474.8579171759,1
21,"2",16487.5141688711,1
22,"1",12268.4134244824,0.8
22,"2",5356.37734351233,0.4
23,"1",13702.9482735234,0.6
23,"2",7021.6494797578,0.8
24,"1",11584.3904824499,0.8
24,"2",13274.0677667839,0.8
25,"1",24024.1113074167,1
25,"2",18026.4778142215,0.8
26,"1",13349.953155648,0.8
26,"2",6880.38186295957,0.8
27,"1",13194.7705547833,0.8
27,"2",15659.1805864761,0.8
28,"1",13771.6505786622,1
28,"2",19847.3582128888,0.8
29,"1",10906.2979691791,1
29,"2",13629.9385764167,0.8
30,"1",13029.3181795403,1
30,"2",16406.82064579,0.8
31,"1",9070.79667287048,1
31,"2",15593.7455972762,1
32,"1",17469.2668762865,1
32,"2",8224.1067854161,0.8
33,"1",25812.5293179394,1
33,"2",20216.9462510347,0.8
34,"1",35734.0970754315,1
34,"2",4872.68850705119,0.8
35,"1",13828.4656687425,1
35,"2",10713.9396272625,0.8
36,"1",34678.5096284898,1
36,"2",10765.7804164872,0.8
37,"1",9557.87994851572,0.8
37,"2",8766.11872469927,0.8
38,"1",39717.0020151747,1
38,"2",12120.054275259,0.8
39,"1",29364.8251673893,1
39,"2",5596.54079271181,0.6
40,"1",29685.5473024529,1
40,"2",15008.0207313735,0.8
41,"1",17729.1994747113,1
41,"2",3630.09159769388,0.6
42,"1",25088.1509267853,1
42,"2",14509.7207517468,0.8
43,"1",20327.7913708386,1
43,"2",30587.3079664492,1
44,"1",26815.81133141,1
44,"2",13006.0365003028,1
45,"1",32228.1229800942,1
45,"2",14838.5537981667,1
46,"1",59350.7889635045,1
46,"2",14872.1684080743,1
47,"1",18950.772145963,1
47,"2",10854.5607090517,1
48,"1",22426.8691627701,1
48,"2",6398.87110412345,1
49,"1",4975.52691462741,0.6
49,"2",16489.609815295,1
50,"1",13952.3830045629,1
50,"2",6251.40419431462,0.8
51,"1",35929.6281926351,1
51,"2",10803.1265784119,1
52,"1",21805.4585068237,1
52,"2",4092.27134294247,0.6
53,"1",37870.8359429454,1
53,"2",8029.35091021052,1
54,"1",26988.2242425118,1
54,"2",7482.40040042842,0.8
55,"1",15022.4048936614,1
55,"2",10599.4810200227,0.6
56,"1",28559.9124555675,1
56,"2",8333.54335720469,0.8
57,"1",27806.2422889085,1
57,"2",8846.01355748547,0.8
58,"1",25586.7374628914,1
58,"2",18966.2924940758,1
59,"1",46411.7053772741,1
59,"2",5802.53450321388,0.6
60,"1",29829.5046587805,1
60,"2",8256.94358018509,0.6
61,"1",5323.51276296958,0.8
61,"2",42896.3675946931,1
62,"1",18178.4267960284,1
62,"2",4401.48310370887,0.6
63,"1",15385.9871649011,1
63,"2",25292.9739500082,0.6
64,"1",28110.9050545437,1
64,"2",16383.2949550152,1
65,"1",7717.5928878066,0.8
65,"2",11658.9462483215,0.6
66,"1",36252.9149031496,1
66,"2",5893.25899480076,0.6
67,"1",10257.8397641857,0.8
67,"2",21937.3402840678,0.8
