"year","iteration","sAg","ppnCUsLowerBM"
1,"1",27417,NA
1,"2",27417,NA
2,"1",23573,NA
2,"2",23573,NA
3,"1",22739,NA
3,"2",22739,NA
4,"1",61956,NA
4,"2",61956,NA
5,"1",56667,NA
5,"2",56667,NA
6,"1",21927,NA
6,"2",21927,NA
7,"1",41447,NA
7,"2",41447,NA
8,"1",13892,NA
8,"2",13892,NA
9,"1",9661,NA
9,"2",9661,NA
10,"1",59711,NA
10,"2",59711,NA
11,"1",16939,NA
11,"2",16939,NA
12,"1",22834,NA
12,"2",22834,NA
13,"1",40238,NA
13,"2",40238,NA
14,"1",27972,NA
14,"2",27972,NA
15,"1",57180,NA
15,"2",57180,NA
16,"1",58313,NA
16,"2",58313,NA
17,"1",19090,NA
17,"2",19090,NA
18,"1",11758.5710168097,0.8
18,"2",13356.7195946072,0.8
19,"1",47597.2397003416,0.8
19,"2",48992.6343781752,0.8
20,"1",21299.9453316759,0.8
20,"2",22905.2784384766,0.8
21,"1",17553.5523556697,1
21,"2",20411.9366960893,1
22,"1",9533.6890238367,0.8
22,"2",5874.59915662105,0.4
23,"1",9010.44610514547,0.4
23,"2",8455.69982869526,0.8
24,"1",10311.5750453073,0.8
24,"2",17866.368747841,0.8
25,"1",17351.5617093809,0.8
25,"2",23482.0432716472,0.8
26,"1",9579.61832376138,0.8
26,"2",8462.97899556791,0.8
27,"1",12692.7867222899,0.8
27,"2",22294.2251400891,0.8
28,"1",13624.9782454553,0.8
28,"2",26040.5455818952,0.8
29,"1",8630.85498078296,0.8
29,"2",18870.8938488008,0.8
30,"1",10134.0244194999,0.8
30,"2",23988.7236141525,0.8
31,"1",7839.13605842601,0.8
31,"2",20924.6419318093,1
32,"1",15406.9229036397,0.8
32,"2",7487.89872183223,0.6
33,"1",25311.0838403567,0.8
33,"2",23287.5899835049,0.8
34,"1",23806.8754888076,0.8
34,"2",9263.27118025973,1
35,"1",19323.4775173805,0.8
35,"2",21838.2809383742,1
36,"1",49490.1599321085,1
36,"2",28474.2319623315,1
37,"1",13421.7596263172,1
37,"2",26812.1217137756,1
38,"1",37373.9330279954,1
38,"2",26105.7764126332,1
39,"1",21792.0125543207,1
39,"2",11802.0443170932,1
40,"1",45161.8548067995,1
40,"2",34585.4355763973,1
41,"1",24893.0863539263,1
41,"2",9593.17683172833,1
42,"1",34714.4544133574,1
42,"2",38007.6904421772,1
43,"1",17598.6362535016,1
43,"2",67438.7687994727,1
44,"1",33466.627419734,1
44,"2",45315.6814791124,1
45,"1",25394.351191556,1
45,"2",24630.045054477,1
46,"1",49324.8923419556,1
46,"2",23972.7061470801,1
47,"1",14442.530000016,1
47,"2",17542.7525478391,1
48,"1",29215.6636257536,1
48,"2",25390.4148598151,1
49,"1",4062.54079231786,0.8
49,"2",34573.2801388458,1
50,"1",11683.4351613946,1
50,"2",12861.2881511965,1
51,"1",20155.9591425487,1
51,"2",20971.2563020889,1
52,"1",18377.572773761,1
52,"2",7501.69592953868,1
53,"1",36343.7039906195,1
53,"2",12268.0517896985,1
54,"1",28451.4036478553,1
54,"2",14448.8314510801,1
55,"1",17569.5868935858,1
55,"2",18044.8779934045,1
56,"1",31989.3978170535,1
56,"2",17433.8603308138,1
57,"1",21580.5985517529,1
57,"2",16266.2741472448,1
58,"1",14034.1035180089,1
58,"2",22234.967072432,1
59,"1",31993.2993946787,1
59,"2",10282.3272057614,1
60,"1",24300.7830823463,1
60,"2",12532.8165635242,1
61,"1",6270.29621177697,1
61,"2",49442.0863622969,1
62,"1",23284.532504956,1
62,"2",12632.0652911783,1
63,"1",32604.9872418038,1
63,"2",62376.1272360283,1
64,"1",29973.1872011687,1
64,"2",29744.0662328495,1
65,"1",15091.9415755492,1
65,"2",33964.7128071769,1
66,"1",29346.5059646099,1
66,"2",11346.9070426296,1
67,"1",20458.8961552654,1
67,"2",30791.0762621937,1
