"opMod","manProc","keyVar","plotOrder","hcr","trial","targetER","medSpawners","varSpawners","medObsSpawners","varObsSpawners","medRecRY","varRecRY","medRecBY","varRecBY","medObsRecBY","varObsRecBY","medObsRecRY","varObsRecRY","medSpawnersLate","medCatch","varCatch","stabilityCatch","medObsCatch","varObsCatch","stabilityObsCatch","medCatchLate","medER","medObsER","ppnCURecover","ppnCUStable","ppnCUExtinct","ppnCUExtant","medSpawnersEarly","medRecRYEarly","medCatchEarly"
"regimeProdCap","ref","regime",1,"fixedER",1,0.125,18945.1506145839,0.789124453827861,19786.4501856899,0.823918563991387,23231.2006665043,0.799095923151501,20867.8060224792,0.771258908785292,23261.9208135218,0.781596024618622,23755.5315070171,0.82782064650667,15758.876981438,3176.45780017497,1.10249968046185,0.907029741342954,3176.45780517496,1.10249967947439,0.907029742155343,3245.6970317921,0.144786662740378,0.150564249111143,0.2,0.8,0,1,11758.5710168097,13842,2083.42898319031
"regimeProdCap","ref","regime",1,"fixedER",2,0.125,23411.6116955608,0.735349299037376,23752.4394663389,0.735876053404992,25652.8963422772,0.749064986889112,24502.8691188652,0.729808621717598,28339.9209521634,0.719655241037612,25954.7174169879,0.746933132158499,16844.823962425,3302.27942052388,1.11726511955188,0.895042709648976,3302.27942552388,1.1172651186117,0.895042710402153,3125.17304170423,0.138412592625209,0.135540351501103,0.4,0.8,0,1,16388.5357079411,20885.4467467905,2497.32737499385
"regimeProdCap","ref","regime",1,"fixedER",3,0.125,21711.5779448963,0.841137335093522,23779.1501849067,0.841903411876524,26623.9653911314,0.824486036632884,28215.5158896633,0.762972131117893,30267.3683745073,0.727030218166886,26090.1348456428,0.818078969104066,17042.9486393696,3318.85178360459,0.960217620410839,1.0414305869248,3318.85178860459,0.960217619412841,1.04143058800721,2216.77104129128,0.119767561232691,0.110183259070807,0.8,0.8,0,1,18159.8741284197,20913.0985411794,2048.55938915667
"regimeProdCap","ref","regime",1,"fixedER",4,0.125,22882.3307858383,0.684253169635505,24721.0750446147,0.71805539268177,27912.9713737544,0.671339086468927,26045.1475449377,0.685058029362638,31523.5277771368,0.680981135591329,28325.2301581008,0.698387846946042,19873.5240859595,3835.64308647317,0.831939978425001,1.20200979149141,3835.64309147317,0.831939977627724,1.20200979264333,3424.10589100995,0.134208056116729,0.125186682335281,0.2,1,0,1,21184.2572316671,24902.4401186596,2731.72929214286
"regimeProdCap","ref","regime",1,"fixedER",5,0.125,25241.312970846,0.68051523989325,28616.7680916205,0.702665403177525,29283.6994790559,0.667032139549592,26440.6600620635,0.732399199439627,35390.0243024783,0.736672790783053,31698.7296191998,0.685143120439234,22880.3603006184,3102.588302254,0.857522014179513,1.16615081999593,3102.588307254,0.857522013139314,1.1661508214105,2419.61118992772,0.0959130510212219,0.107288619855611,0.6,0.6,0,1,20687.1062432687,22407.5830658802,2126.34693130294
"regimeProdCap","ref","regime",1,"fixedER",6,0.125,22329.3045602088,0.741347257248648,25228.796562462,0.772391086406648,27371.3890731197,0.74486872867736,24444.1082461164,0.715207358730065,29732.3109020606,0.72104693093674,28769.2065690255,0.764756663061958,20412.0581202143,3343.06706724539,0.979623826187171,1.02079999819128,3343.06707224539,0.97962382521196,1.02079999920748,3176.66548794031,0.129785140659075,0.120488684847384,0,0.8,0,1,17091.7058361855,19773.726749385,2576.43885055543
"regimeProdCap","ref","regime",1,"fixedER",7,0.125,25100.2428113136,0.723745361082029,25939.0826491194,0.732469347180556,28038.9981353099,0.712716058393994,25260.3894213734,0.669664325792865,32836.9517164367,0.683068456537671,30101.0702875103,0.720321352150443,19561.7646852031,2971.29877086797,0.773859409462642,1.29222438568575,2971.29877586797,0.773859408543789,1.29222438722009,2953.16171916755,0.114348471872673,0.112534715101129,0.6,1,0,1,19236.0998187142,21072.8076864535,2247.40207609869
"regimeProdCap","ref","regime",1,"fixedER",8,0.125,22147.0160359046,0.758183066222851,24932.6481662731,0.745617340027299,27055.159891709,0.748391597911316,22304.1236881467,0.743218778163433,26842.9720196086,0.703409670589663,26861.3026042686,0.735831852831129,13989.2565291001,3585.38125810879,0.859943410259108,1.16286721669126,3585.38126310879,0.859943409454046,1.16286721777991,3352.11079411677,0.140672330465595,0.133620209554306,0.4,0.8,0,1,15183.1189570245,19089.295245343,1937.60016570762
"regimeProdCap","ref","regime",1,"fixedER",9,0.125,22204.2063424184,0.793427155422308,24525.6513194169,0.81445001578022,26071.0664467503,0.822940100977461,22175.7019826235,0.781618350883831,27830.6622499419,0.770517778586133,26967.6496082096,0.838204763592204,15151.2172413011,2522.72469499762,1.18876917804875,0.841206197523896,2522.72469999762,1.18876917690415,0.841206198333849,2027.96942499154,0.106634444604575,0.124971895820471,0.4,0.6,0,1,13144.0991789458,15245.4385246434,1402.44503695526
"regimeProdCap","ref","regime",1,"fixedER",10,0.125,22438.1770381896,0.836876137129391,23592.8931804562,0.860852522877268,26515.8266045005,0.825554101586233,23733.4832265872,0.748438926868295,23254.3556874526,0.74224423066184,25931.2125178202,0.842645885800914,19867.1689555864,2896.95956104523,0.964961552099041,1.03631071914186,2896.95956604523,0.964961550876914,1.03631072045435,1638.67519430917,0.104236397018572,0.10711373952547,0.6,1,0,1,13760.2891118135,16525.9317996762,1388.80748020871
"regimeProdCap","ref","regime",1,"fixedER",11,0.125,26072.1032827593,0.706603459403308,26718.7743477613,0.74307399181376,29332.0376083934,0.708685606637225,29383.873632191,0.643969722983483,36969.9358319666,0.637423952875551,29608.4536079693,0.740024028475706,22526.5711427458,3518.26530047317,0.906764128748906,1.10282262861427,3518.26530547317,0.906764127737751,1.10282262984406,2682.75089562733,0.10317350939139,0.109162398917299,0.8,0.8,0,1,23042.0324164012,26411.0007014131,2754.8322525456
"regimeProdCap","ref","regime",1,"fixedER",12,0.125,23889.1952286204,0.79238301854657,22621.5395668283,0.817173911575875,25609.6427266321,0.788222470950977,23196.5209451865,0.721442317861812,27457.6658506777,0.7164274794998,26410.2909144886,0.809792553964523,14055.1046906738,2649.98376288851,0.876727070903182,1.14060582042918,2649.98376788851,0.876727069775201,1.14060582189667,1496.16168706906,0.0992892184442995,0.0968242981948579,0.2,0.6,0,1,16856.4403688479,19742.0211895382,2932.52073738983
"regimeProdCap","ref","regime",1,"fixedER",13,0.125,25354.6218922651,0.73270275825909,23433.7343637698,0.728521275007343,28555.6050328146,0.723318827569242,27819.9929239477,0.690626258148642,29671.7435815615,0.663989242964435,29689.1350937697,0.718184783230139,21023.545195672,3133.67382813255,0.865843174712433,1.15494356161221,3133.67383313255,0.865843173743576,1.15494356290456,3433.83623530465,0.11958026495667,0.111744039604072,0.6,0.8,0,1,15724.1356440955,17987.4773985251,2027.05829388397
"regimeProdCap","ref","regime",1,"fixedER",14,0.125,24769.4640890739,0.789132363317598,24452.8887556594,0.820707357499989,27664.368244225,0.790947077022476,27147.3107283011,0.724466277722631,30149.5680929799,0.71854840608903,27359.9552943867,0.814135917184929,17198.1517432945,2732.99312493832,1.00897655750307,0.991103304198385,2732.99312993832,1.00897655618855,0.991103305489615,1345.36467704843,0.100804112654251,0.101307851711913,0.2,0.6,0,1,23519.4226674098,26411.0023298145,1872.50906708268
"regimeProdCap","ref","regime",1,"fixedER",15,0.125,19998.7957457099,0.726319669113765,21056.6758426735,0.726620419183754,24586.1727343276,0.752157728506613,21138.6127364415,0.715698924445146,22963.7871620049,0.711471326386599,26894.0886934388,0.748206973652293,15041.6631754454,3559.38067816196,1.17235659775629,0.852982788610432,3559.38068316196,1.17235659677909,0.852982789321423,2618.34116400955,0.117325736567617,0.107703461700303,0,0.4,0,1,17013.202280402,18678.9150862816,2160.79169580488
