"year","iteration","sAg","ppnCUsLowerBM"
1,"1",27417,NA
1,"2",27417,NA
2,"1",23573,NA
2,"2",23573,NA
3,"1",22739,NA
3,"2",22739,NA
4,"1",61956,NA
4,"2",61956,NA
5,"1",56667,NA
5,"2",56667,NA
6,"1",21927,NA
6,"2",21927,NA
7,"1",41447,NA
7,"2",41447,NA
8,"1",13892,NA
8,"2",13892,NA
9,"1",9661,NA
9,"2",9661,NA
10,"1",59711,NA
10,"2",59711,NA
11,"1",16939,NA
11,"2",16939,NA
12,"1",22834,NA
12,"2",22834,NA
13,"1",40238,NA
13,"2",40238,NA
14,"1",27972,NA
14,"2",27972,NA
15,"1",57180,NA
15,"2",57180,NA
16,"1",58313,NA
16,"2",58313,NA
17,"1",19090,NA
17,"2",19090,NA
18,"1",11758.5710168097,0.8
18,"2",13356.7195946072,0.8
19,"1",47597.2397003416,0.8
19,"2",48992.6343781752,0.8
20,"1",21299.9453316759,0.8
20,"2",22905.2784384766,0.8
21,"1",17553.5521612248,1
21,"2",20411.9366770726,1
22,"1",8617.41629305775,0.8
22,"2",4575.22325555622,0.4
23,"1",6528.62389550383,0.4
23,"2",6348.76001887995,0.8
24,"1",7487.21451383206,0.8
24,"2",12658.9266452927,0.8
25,"1",11928.9831047171,0.8
25,"2",15966.478567006,0.8
26,"1",6305.57007766262,0.8
26,"2",5152.4733457844,0.6
27,"1",8065.24096587956,0.8
27,"2",17438.9353782572,0.8
28,"1",9186.37672877255,0.8
28,"2",23455.9515678508,0.8
29,"1",5674.0337860692,0.4
29,"2",14015.399866801,0.8
30,"1",6699.25763706182,0.8
30,"2",20372.5910326709,0.8
31,"1",6299.27635679683,0.8
31,"2",20041.9922680554,0.8
32,"1",11914.1356380759,0.8
32,"2",7165.64398102262,0.8
33,"1",22801.8862149114,0.8
33,"2",24579.997530564,0.8
34,"1",22875.4812503992,0.8
34,"2",10182.7604641788,1
35,"1",12969.5482372482,0.8
35,"2",15823.3787654664,1
36,"1",32230.680785657,1
36,"2",16670.5087212305,0.8
37,"1",10121.3714302913,0.8
37,"2",20702.2486821435,1
38,"1",31298.6527160754,1
38,"2",19650.900400589,1
39,"1",23998.1766809734,1
39,"2",11497.1600488011,1
40,"1",31740.748440781,1
40,"2",33921.4989174073,1
41,"1",24310.3638841619,1
41,"2",8234.67367219958,1
42,"1",28133.0856835389,1
42,"2",31102.4258599444,1
43,"1",16132.154538411,1
43,"2",51369.513098412,1
44,"1",23943.628307295,1
44,"2",29138.7162525775,1
45,"1",22955.8306801205,1
45,"2",20570.7054466595,1
46,"1",36688.6662137065,1
46,"2",22294.0123645867,1
47,"1",10663.2751182398,1
47,"2",16904.7437699883,1
48,"1",18576.2667291072,1
48,"2",16118.303870315,1
49,"1",4801.50425169208,0.8
49,"2",30928.700673577,1
50,"1",11158.0900549478,1
50,"2",11932.2633370144,0.8
51,"1",20506.0700281825,1
51,"2",18681.188779273,1
52,"1",19210.9368942197,1
52,"2",6323.26595530832,0.8
53,"1",34800.0735438974,1
53,"2",9394.15575530418,1
54,"1",23473.5783073117,1
54,"2",10992.704987299,1
55,"1",13402.7464926554,1
55,"2",12894.4893218418,1
56,"1",24667.3840159308,1
56,"2",14364.5668454115,0.8
57,"1",18987.964607353,1
57,"2",11510.9125701343,1
58,"1",12300.8212197251,1
58,"2",18015.8232304511,1
59,"1",29692.6706301703,1
59,"2",7307.06726934693,1
60,"1",21958.8361161967,1
60,"2",9748.13303516869,0.8
61,"1",5379.14596419748,0.8
61,"2",41192.6727798534,1
62,"1",22688.7377996481,1
62,"2",10326.9392442961,1
63,"1",22449.5337127764,1
63,"2",37576.4015248603,1
64,"1",18466.8011557888,1
64,"2",26560.1615127326,1
65,"1",9858.53741593908,1
65,"2",19294.6259780054,1
66,"1",25100.1939844736,1
66,"2",10866.1955719734,1
67,"1",20867.0145062991,1
67,"2",23499.71498231,1
