"year","iteration","sAg","ppnCUsLowerBM"
1,"1",27417,NA
1,"2",27417,NA
2,"1",23573,NA
2,"2",23573,NA
3,"1",22739,NA
3,"2",22739,NA
4,"1",61956,NA
4,"2",61956,NA
5,"1",56667,NA
5,"2",56667,NA
6,"1",21927,NA
6,"2",21927,NA
7,"1",41447,NA
7,"2",41447,NA
8,"1",13892,NA
8,"2",13892,NA
9,"1",9661,NA
9,"2",9661,NA
10,"1",59711,NA
10,"2",59711,NA
11,"1",16939,NA
11,"2",16939,NA
12,"1",22834,NA
12,"2",22834,NA
13,"1",40238,NA
13,"2",40238,NA
14,"1",27972,NA
14,"2",27972,NA
15,"1",57180,NA
15,"2",57180,NA
16,"1",58313,NA
16,"2",58313,NA
17,"1",19090,NA
17,"2",19090,NA
18,"1",11758.5710168097,0.8
18,"2",13356.7195946072,0.8
19,"1",47597.2397003416,0.8
19,"2",48992.6343781752,0.8
20,"1",21299.9453316759,0.8
20,"2",22905.2784384766,0.8
21,"1",17553.5523556697,1
21,"2",20411.9366960893,1
22,"1",9533.6890238367,0.8
22,"2",5874.59915662105,0.4
23,"1",9010.44610514547,0.4
23,"2",8455.69982869526,0.8
24,"1",10311.5750453073,0.8
24,"2",17866.368747841,0.8
25,"1",17351.5617093809,0.8
25,"2",23482.0432716472,0.8
26,"1",9579.61832376138,0.8
26,"2",8462.97899556791,0.8
27,"1",12692.7867222899,0.8
27,"2",22294.2251400891,0.8
28,"1",13624.9782454553,0.8
28,"2",26040.5455818952,0.8
29,"1",8630.85498078296,0.8
29,"2",18870.8938488008,0.8
30,"1",10134.0244194999,0.8
30,"2",23988.7236141525,0.8
31,"1",7839.13605842601,0.8
31,"2",20924.6419318093,1
32,"1",15406.9229036397,0.8
32,"2",7487.89872183223,0.6
33,"1",25311.0838403567,0.8
33,"2",23287.5899835049,0.8
34,"1",23806.8752852927,0.8
34,"2",9263.26973999267,1
35,"1",11894.803510823,0.8
35,"2",14060.7959747023,1
36,"1",29381.6600952978,1
36,"2",14312.6665320242,1
37,"1",8844.74965066465,0.8
37,"2",17837.3723914921,1
38,"1",26457.767667217,1
38,"2",14795.4847604353,1
39,"1",21567.9487773475,1
39,"2",8438.24718604471,1
40,"1",21477.4939967197,1
40,"2",26190.1198999788,1
41,"1",20794.2551145723,1
41,"2",6472.75579653654,1
42,"1",24196.0301175002,1
42,"2",22945.8380625921,1
43,"1",15305.4322903767,1
43,"2",43405.1336370865,1
44,"1",21294.3934555845,1
44,"2",22009.2798696573,1
45,"1",21964.7812396517,1
45,"2",20016.3391672305,1
46,"1",33749.228083117,1
46,"2",22228.3453282393,1
47,"1",10578.0265735283,1
47,"2",18978.732506894,1
48,"1",18731.8373563007,1
48,"2",15804.3321643297,1
49,"1",5466.2826794512,1
49,"2",31645.6366013819,1
50,"1",12757.1499933055,1
50,"2",12161.1621116897,1
51,"1",23294.0168175297,1
51,"2",21856.9564233371,1
52,"1",23281.7683529954,1
52,"2",7861.68661051493,1
53,"1",43782.8891521609,1
53,"2",12229.413253642,1
54,"1",27352.1706106443,1
54,"2",14536.2444856328,1
55,"1",16211.220522473,1
55,"2",20168.3014622789,1
56,"1",26745.6515859047,1
56,"2",17450.5309161038,1
57,"1",21269.4166659288,1
57,"2",16346.8274079194,1
58,"1",14231.6229474313,1
58,"2",20974.0671878423,1
59,"1",34583.5568628814,1
59,"2",10283.3193993581,1
60,"1",25631.7625891682,1
60,"2",12524.44241446,1
61,"1",6296.17943142842,1
61,"2",49818.7953853289,1
62,"1",21991.2988696511,1
62,"2",12681.4885381455,1
63,"1",21035.6795728063,1
63,"2",39632.037184685,1
64,"1",18905.9717181428,1
64,"2",20358.4546604908,1
65,"1",8895.76272309538,1
65,"2",17439.8583867078,1
66,"1",22934.2438108085,1
66,"2",9944.74990961278,1
67,"1",18086.1094914996,1
67,"2",18835.5589566565,1
